데이터플랫폼 공통지표,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
구분,순서,지표명,정의,계산식,데이터 출처,합의 필요사항,,,,
공통,125,납입방식,자동이체/ 신용카드/ 네이버페이/ 전자결제/ OCR/ 회비통장,,,,,,,
공통,126,캠페인별 납입방식,개발당시 납입방식,,,,,,,
공통,127,후원기간(개월),최초가입일로부터 기준년월일까지의 개월수,,,,,,,
공통,128,후원기간(년),최초가입일로부터 기준년월일까지의 년수,,,,,,,
공통,129,납입개월수,최초가입일로부터 기준년월일까지 기간 중 정기납입이력이 있는 달수,,,,,,,
공통,130,성별,남/여/기업/단체/기타,,,,,,,
공통,131,지역,서울/인천/경기/강원….우편코드기준,,,,,,,
공통,132,회원상태,활동/신규미납/장기미납/중단,"조회시점(조회년월)기준, 회원의 상태",,,,,,
공통,133,발송구분(대),결연/회비/서비스/사업보고/참여/기타,,,,,,,
공통,134,발송구분(중),선물금/신규결연회원발송/회원서신/만18세아동종결/일반퇴소….,,,,,,,
공통,135,발송구분(소),선물금접수확인/신규결연우편물(PF)/결연100일/서신접수확인/첫출금안내(사단)….,,,,,,,
공통,136,제목(발송),텍스트길이 김,,,,,,,
공통,137,발송일,YYYY-MM-DD,,,,,,,
공통,138,발송상태,발송성공,,,,,,,
공통,139,발송(+5일차) 서신참여(명),발송일로부터 +5일차까지의 발송대상X서신참여 매칭되는 사람수(중복포함),,,,,,,
공통,140,발송(+5일차) 서신참여(건),발송일로부터 +5일차까지의 발송대상X서신참여 매칭되는 사람의 활동건,,,,,,,
공통,141,발송(+5일차) 선물금참여(명),발송일로부터 +5일차까지의 발송대상X선물금참여 매칭되는 사람수(중복포함),,,,,,,
공통,142,발송(+5일차) 선물금참여(건),발송일로부터 +5일차까지의 발송대상X선물금참여 매칭되는 사람의 활동건,,,,,,,
공통,143,발송(+5일차) 증액참여(명),발송일로부터 +5일차까지의 발송대상X증액으로 매칭되는 사람수(중복포함),,,,,,,
공통,144,발송(+5일차) 증액참여(건),발송일로부터 +5일차까지의 발송대상X증액으로 매칭되는 사람의 활동건,,,,,,,
공통,145,발송(+5일차) 중단(명),발송일로부터 +5일차까지의 발송대상X중단으로 매칭되는 사람수(중복포함),,,,,,,
공통,146,발송(+5일차) 중단(건),발송일로부터 +5일차까지의 발송대상X중단으로 매칭되는 사람의 활동건,,,,,,,
공통,147,공통캠페인,현재 세부캠페인기준으로 25년 26년 정리된 캠페인,,,,,,,
공통,148,개발(명),당월 개발 명수(회원번호 생성기준),,,,,,,
공통,149,개발(건),당월 개발 건수,,,,,,,
공통,150,증액(명),월 마감시 전월대비 활동(건)이 증가한 사람들의 회원번호 기준의 명수,,,,,,,
공통,151,증액(건),월 마감시 전월대비 활동(건)이 증가한 사람들의 증가분(건),,,,,,,
공통,152,연사업목표(건),"연사업으로 확정된 본부/지부별, 각 팀별, 후원사업별 당월 목표(건)",,,,,,,
공통,153,추경목표(건),"추경으로 확정된 본부/지부별, 각 팀별, 후원사업별 당월 누계목표(건)",,,,,,,
공통,154,연사업누계목표(건),"연사업으로 확정된 본부/지부별, 각 팀별, 후원사업별 당해년 누계목표(건)",,,,,,,
공통,155,추경누계목표(건),"추경으로 확정된 본부/지부별, 각 팀별, 후원사업별 당해년 누계목표(건)",,,,,,,
공통,156,활동(명),월 마감시 활동하고 있는 사람들의 명수(회원번호 개수),,,,,,,
공통,157,활동(건),월 마감시 활동하고 있는 사람들의 약정금액÷10000원,,,,,,,
공통,158,활동누계(명),월 마감시 활동하고 있는 사람들의 당해년도 명수 누계(회원번호 개수 누계),,,,,,,
공통,159,활동누계(건),월 마감시 활동하고 있는 사람들의 당해년도 약정금액÷10000원 누계,,,,,,,
공통,160,서비스(명),총 서비스 나간 사람들의 회원번호 개수(명),,,,,,,
공통,161,서비스(건),총 서비스 나간 사람들의 약정금액÷10000원,,,,,,,
공통,162,중단사유,중단한 회원의 중단사유,"개인적(경제적)사유, 명의변경,일시후원이었음,약정후원,이중가입,회원항의,다른곳지원,사업장종결,아동퇴소,기업후원종료,기타,만18세아동퇴소",,,,,,
,,,,,,,,,,
공통,163,신규미납,"조회시점(조회년월) 기준, 회원상태값이 '신규미납1~신규미납5'인 회원","신규미납(명)=회원번호당 1명,     신규미납(건)=신규미납회원 개발금액/10,000",,,,,,
공통,164,장기미납,"조회시점(조회년월) 기준, 회원상태값이 '장기미납1~장기미납5'인 회원","장기미납(명)=회원번호당 1명,     장기미납(건)=장기미납회원 개발금액/10,000",,,,,,
활동,165,월말활동회원(명),"조회시점(조회년월) 기준, 해당월말 활동회원 명수(회원번호 기준)","월 활동회원(회원상태가 활동, 미납1~미납5)의 회원명수  *회원번호당 1명",,,,,,
활동,166,월말활동목표(건),월별 활동회원건 목표,숫자,,,,,,
활동,167,연활동율목표(%),당해년도 연간 활동율 목표,%,,,,,,
공통,168,월 목표(건),"연사업으로 확정된 본부/지부별, 각 팀별, 후원사업별 월 목표(건)",,,,,,,
공통,169,월 누계목표(건),"조회시점(조회년월)기준 연사업으로 확정된 본부/지부별, 각 팀별, 후원사업별 월 누계목표(건)",,CRM,,,,,
개발,170,월 누계개발(건),조회시점(조회년월)기준 당해년도 월 누계 개발건수,,CRM,,,,,
공통,171,월 목표(원),"연사업으로 확정된 본부/지부별, 각 팀별, 후원사업별 정기회비 월 목표(원)",,,,,,,
공통,172,월 누계 목표(원),"조회시점(조회년월) 기준 당해년도 연사업으로 확정된 본부/지부별, 각 팀별, 후원사업별 정기회비 월 누계 목표(원)",,,,,,,
납입,173,납입회비(원),조회시점(조회년월)기준 월 납입회비 금액,,,,,,,
납입,174,누계 납입회비(원),조회시점(조회년월)기준 누계 납입회비 금액,,,,,,,
활동,175,월말 신규활동회원(건),"조회년월 기준, 해당월 신규활동건수","월 활동회원(회원상태가 활동, 미납1~미납5)의 신규 후원사업금액/10,000",,,,,,
활동,176,월말 기존활동회원(건),"조회년월 기준, 해당월 기존활동건수","월 활동회원(회원상태가 활동, 미납1~미납5)의 기존 후원사업금액/10,000",,,,,,
개발,177,평균 약정금액(원),후원자가 후원신청 시 약정한 후원금액의 평균,"(활동건*10,000원)/활동명",,,,,,
납입,178,평균 납입금액(원),후원자가 납입하는 후원금액의 평균,납입회비금액/납입명,,,,,,
